Video_num,frame_indx,predictions,frame_proccessing_duration,fall_detection_duration_perVideo,frame_width,frame_height
44,0,0.0013302318,427.7153015136719,,640,480
44,1,0.0014698922,236.2687587738037,,640,480
44,2,0.0012380901,189.25905227661133,,640,480
44,3,0.0014270827,224.90954399108887,,640,480
44,4,0.0013217038,180.05967140197754,,640,480
44,5,0.0011558104,193.2682991027832,,640,480
44,6,0.001494436,200.0720500946045,,640,480
44,7,0.0016040511,237.14113235473633,,640,480
44,8,0.0014912701,211.38739585876465,,640,480
44,9,0.0013039086,211.59768104553223,,640,480
44,10,0.0012641781,262.78114318847656,,640,480
44,11,0.0011818014,240.42844772338867,,640,480
44,12,0.0010499106,251.21355056762695,,640,480
44,13,0.0010278377,216.7501449584961,,640,480
44,14,0.00090898236,229.96091842651367,,640,480
44,15,0.0008315619,205.9311866760254,,640,480
44,16,0.00075005833,205.704927444458,,640,480
44,17,0.0006968762,211.2269401550293,,640,480
44,18,0.0006545241,215.83271026611328,,640,480
44,19,0.00060977123,234.56501960754395,,640,480
44,20,0.00056675175,237.80226707458496,,640,480
44,21,0.0005268408,238.81125450134277,,640,480
44,22,0.00046494996,213.51289749145508,,640,480
44,23,0.0004139902,345.7925319671631,,640,480
44,24,0.00038412272,306.3206672668457,,640,480
44,25,0.00036879772,293.6389446258545,,640,480
44,26,0.00039406403,304.03828620910645,,640,480
44,27,0.00034886342,331.84313774108887,,640,480
44,28,0.00036409998,318.4680938720703,,640,480
44,29,0.00039473097,323.901891708374,,640,480
44,30,0.00036154265,337.73255348205566,,640,480
44,31,0.00037318337,330.4603099822998,,640,480
44,32,0.00033086358,339.8423194885254,,640,480
44,33,0.0003367704,353.78074645996094,,640,480
44,34,0.00033155858,310.64867973327637,,640,480
44,35,0.00031812722,208.7991237640381,,640,480
44,36,0.00027331564,223.01101684570312,,640,480
44,37,0.00023186895,250.6847381591797,,640,480
44,38,0.0002170476,241.1329746246338,,640,480
44,39,0.000188139,237.44559288024902,,640,480
44,40,0.00017538501,220.86739540100098,,640,480
44,41,0.00016302093,249.6340274810791,,640,480
44,42,0.00017133172,263.14711570739746,,640,480
44,43,0.0001902306,238.67416381835938,,640,480
44,44,0.00020501003,245.69129943847656,,640,480
44,45,0.0002673653,253.66663932800293,,640,480
44,46,0.0003514257,251.1308193206787,,640,480
44,47,0.0004964763,247.72381782531738,,640,480
44,48,0.0007629356,250.8530616760254,,640,480
44,49,0.0014210214,214.39313888549805,,640,480
44,50,0.0041908715,249.18484687805176,,640,480
44,51,0.01244654,213.81759643554688,,640,480
44,52,0.03365302,217.95415878295898,,640,480
44,53,0.08348332,212.2039794921875,,640,480
44,54,0.21454275,237.5345230102539,,640,480
44,55,0.29183114,230.55410385131836,,640,480
44,56,0.31268984,199.0978717803955,,640,480
44,57,0.4157003,195.9073543548584,,640,480
44,58,0.5373999,187.19744682312012,,640,480
44,59,0.6462809,253.33309173583984,,640,480
44,60,0.72992575,215.34180641174316,2.0000000000000027,640,480
44,61,0.78103584,225.05736351013184,2.0000000000000027,640,480
44,62,0.8053993,239.55535888671875,2.0000000000000027,640,480
44,63,0.83085895,263.4587287902832,2.0000000000000027,640,480
44,64,0.8563273,197.76344299316406,2.0000000000000027,640,480
44,65,0.87890553,223.35147857666016,2.0000000000000027,640,480
44,66,0.9000235,193.96162033081055,2.0000000000000027,640,480
44,67,0.92093134,220.2010154724121,2.0000000000000027,640,480
44,68,0.9352016,227.43511199951172,2.0000000000000027,640,480
44,69,0.9501363,244.08268928527832,2.0000000000000027,640,480
44,70,0.96415126,218.68538856506348,2.0000000000000027,640,480
44,71,0.97429806,212.50295639038086,2.0000000000000027,640,480
44,72,0.98268664,261.51227951049805,2.0000000000000027,640,480
44,73,0.9864114,211.55524253845215,2.0000000000000027,640,480
44,74,0.99026155,250.8544921875,2.0000000000000027,640,480
44,75,0.99327433,239.07923698425293,2.0000000000000027,640,480
44,76,0.99465984,246.94061279296875,2.0000000000000027,640,480
44,77,0.9958017,319.29850578308105,2.0000000000000027,640,480
44,78,0.99338484,353.9388179779053,2.0000000000000027,640,480
44,79,0.9966632,339.0827178955078,2.0000000000000027,640,480
44,80,0.99617195,325.6227970123291,2.0000000000000027,640,480
44,81,0.9937745,353.70779037475586,2.0000000000000027,640,480
44,82,0.29904458,333.13632011413574,2.0000000000000027,640,480
44,83,0.29904458,192.20471382141113,2.0000000000000027,640,480
44,84,0.29904458,173.68650436401367,2.0000000000000027,640,480
44,85,0.29904458,185.23168563842773,2.0000000000000027,640,480
44,86,0.29904458,162.7664566040039,2.0000000000000027,640,480
44,87,0.29904458,195.41263580322266,2.0000000000000027,640,480
44,88,0.29904458,209.3484401702881,2.0000000000000027,640,480
44,89,0.29904458,189.2070770263672,2.0000000000000027,640,480
44,90,0.29904458,224.23911094665527,2.0000000000000027,640,480
44,91,0.29904458,199.1863250732422,2.0000000000000027,640,480
44,92,0.29904458,186.38372421264648,2.0000000000000027,640,480
44,93,0.29904458,148.24175834655762,2.0000000000000027,640,480
44,94,0.29904458,148.7710475921631,2.0000000000000027,640,480
44,95,0.29904458,179.40092086791992,2.0000000000000027,640,480
44,96,0.29904458,159.18302536010742,2.0000000000000027,640,480
44,97,0.29904458,130.6898593902588,2.0000000000000027,640,480
44,98,0.29904458,141.23272895812988,2.0000000000000027,640,480
