Video_num,frame_indx,predictions,frame_proccessing_duration,fall_detection_duration_perVideo,frame_width,frame_height
44,0,0,835.7541561126709,,640,480
44,1,0,478.09481620788574,,640,480
44,2,0,423.39062690734863,,640,480
44,3,0,191.90359115600586,,640,480
44,4,0,231.06026649475098,,640,480
44,5,0,191.32757186889648,,640,480
44,6,0,173.3238697052002,,640,480
44,7,0,209.84792709350586,,640,480
44,8,0,177.27112770080566,,640,480
44,9,0,359.0717315673828,,640,480
44,10,0,183.8376522064209,,640,480
44,11,0,188.63654136657715,,640,480
44,12,0,206.58087730407715,,640,480
44,13,0,275.15649795532227,,640,480
44,14,0,232.15460777282715,,640,480
44,15,0,273.7445831298828,,640,480
44,16,0,383.96644592285156,,640,480
44,17,0,348.7081527709961,,640,480
44,18,0,329.3886184692383,,640,480
44,19,0,314.8524761199951,,640,480
44,20,0,225.12269020080566,,640,480
44,21,0,177.4747371673584,,640,480
44,22,0,184.04889106750488,,640,480
44,23,0,179.7335147857666,,640,480
44,24,0,183.37512016296387,,640,480
44,25,0,206.80999755859375,,640,480
44,26,0,257.34567642211914,,640,480
44,27,0,244.4140911102295,,640,480
44,28,0,253.14879417419434,,640,480
44,29,0,262.2196674346924,,640,480
44,30,0,210.0379467010498,,640,480
44,31,0,224.22075271606445,,640,480
44,32,0,265.08569717407227,,640,480
44,33,0,286.5114212036133,,640,480
44,34,0,292.0558452606201,,640,480
44,35,0,221.86732292175293,,640,480
44,36,0,201.05719566345215,,640,480
44,37,0,424.50451850891113,,640,480
44,38,0,531.3403606414795,,640,480
44,39,0,266.6962146759033,,640,480
44,40,0,341.22157096862793,,640,480
44,41,0,394.47784423828125,,640,480
44,42,0,419.7409152984619,,640,480
44,43,0,805.915355682373,,640,480
44,44,0,421.8153953552246,,640,480
44,45,0,525.7744789123535,,640,480
44,46,0,734.299898147583,,640,480
44,47,0,929.9190044403076,,640,480
44,48,0,559.9596500396729,,640,480
44,49,0,414.013147354126,,640,480
44,50,0,447.3838806152344,,640,480
44,51,0,230.95965385437012,,640,480
44,52,0,196.96593284606934,,640,480
44,53,0,251.01828575134277,,640,480
44,54,0,233.1244945526123,,640,480
44,55,0,215.7890796661377,,640,480
44,56,0,226.6838550567627,,640,480
44,57,0,344.5723056793213,,640,480
44,58,0,199.04351234436035,,640,480
44,59,0,123.36230278015137,,640,480
44,60,0,123.14486503601074,,640,480
44,61,0,125.52952766418457,,640,480
44,62,0,127.76899337768555,,640,480
44,63,0,132.22694396972656,,640,480
44,64,0,121.35052680969238,,640,480
44,65,0,129.53758239746094,,640,480
44,66,0,127.33769416809082,,640,480
44,67,0,122.32542037963867,,640,480
44,68,1,126.63388252258301,2.2666666666666684,640,480
44,69,1,125.65922737121582,2.2666666666666684,640,480
44,70,1,121.31452560424805,2.2666666666666684,640,480
44,71,1,131.0434341430664,2.2666666666666684,640,480
44,72,1,126.5099048614502,2.2666666666666684,640,480
44,73,1,121.3984489440918,2.2666666666666684,640,480
44,74,1,116.51849746704102,2.2666666666666684,640,480
44,75,1,112.71381378173828,2.2666666666666684,640,480
44,76,1,112.91170120239258,2.2666666666666684,640,480
44,77,1,117.59138107299805,2.2666666666666684,640,480
44,78,1,114.45403099060059,2.2666666666666684,640,480
44,79,1,114.52126502990723,2.2666666666666684,640,480
44,80,1,124.35317039489746,2.2666666666666684,640,480
44,81,1,129.78100776672363,2.2666666666666684,640,480
44,82,0,134.9031925201416,2.2666666666666684,640,480
44,83,0,41.52655601501465,2.2666666666666684,640,480
44,84,0,44.7995662689209,2.2666666666666684,640,480
44,85,0,43.06340217590332,2.2666666666666684,640,480
44,86,0,43.3657169342041,2.2666666666666684,640,480
44,87,0,43.027400970458984,2.2666666666666684,640,480
44,88,0,41.6409969329834,2.2666666666666684,640,480
44,89,0,50.074100494384766,2.2666666666666684,640,480
44,90,0,56.99944496154785,2.2666666666666684,640,480
44,91,0,41.75281524658203,2.2666666666666684,640,480
44,92,0,42.157888412475586,2.2666666666666684,640,480
44,93,0,43.782949447631836,2.2666666666666684,640,480
44,94,0,41.47529602050781,2.2666666666666684,640,480
44,95,0,40.2524471282959,2.2666666666666684,640,480
44,96,0,56.7317008972168,2.2666666666666684,640,480
44,97,0,41.52727127075195,2.2666666666666684,640,480
44,98,0,51.367998123168945,2.2666666666666684,640,480
